ID,iphone,samsunggalaxy,sonyxperia,nokialumina,htcphone,galaxysentiment
284,0,0,0,0,0,1
285,1,0,0,0,0,4
286,0,0,0,0,0,1
287,1,0,0,0,0,4
288,2,0,0,0,0,4
289,1,0,0,0,0,3
290,1,0,0,0,0,4
291,1,0,0,0,0,3
292,0,0,6,0,0,1
293,2,0,0,0,0,4
294,1,0,0,0,0,4
295,1,1,0,0,0,3
296,1,0,0,0,0,4
297,1,0,0,0,0,4
298,1,0,0,0,0,4
299,1,0,0,0,0,4
300,1,0,0,0,0,4
301,1,0,0,0,0,4
302,2,0,0,0,0,4
303,0,0,0,0,0,2
304,1,0,0,0,0,4
305,0,0,0,0,0,1
306,0,0,0,0,0,1
307,0,0,0,0,0,1
308,0,0,0,0,0,1
309,0,0,0,0,0,1
310,0,0,0,0,0,1
311,0,0,0,0,0,1
312,0,0,0,0,0,1
313,0,0,0,0,0,1
314,0,0,0,0,0,1
315,0,0,0,0,0,1
316,0,0,0,0,0,1
317,0,0,0,0,0,1
318,0,0,0,0,0,1
319,0,0,0,0,0,1
320,0,0,0,0,0,1
321,0,0,0,0,0,1
322,0,0,0,0,0,1
323,0,0,0,0,0,1
324,0,0,0,0,0,1
325,0,0,0,0,0,1
326,17,0,0,0,0,4
327,2,0,0,0,0,4
328,1,0,0,0,0,4
329,0,1,0,0,0,1
330,0,1,0,0,0,1
331,1,0,0,0,0,4
332,1,0,0,0,0,4
333,0,2,0,0,0,1
334,2,0,0,0,0,4
335,3,0,0,0,0,4
336,1,0,0,0,0,3
337,0,0,0,0,0,2
338,1,0,0,0,0,3
339,1,0,0,0,0,4
340,1,0,0,0,0,4
341,1,0,0,0,0,4
342,1,0,0,0,0,4
343,0,0,0,0,0,1
344,1,0,0,0,0,3
345,0,0,0,0,0,1
346,2,0,0,0,0,4
347,1,0,0,0,0,4
348,1,0,0,0,0,4
349,1,0,0,0,0,4
350,0,0,0,0,0,1
351,0,0,0,0,0,1
352,1,0,0,0,0,4
353,1,0,0,0,0,3
354,0,2,0,0,0,1
355,1,0,0,0,0,4
356,1,0,0,0,0,4
357,1,0,0,0,0,4
358,5,0,0,0,1,2
359,1,0,0,0,0,4
360,1,0,0,0,1,4
361,1,0,0,0,0,4
362,1,0,0,0,0,4
363,1,0,0,0,0,4
364,1,0,0,0,0,4
365,0,0,0,0,0,1
366,0,0,0,0,0,1
367,1,0,0,0,0,4
368,1,0,0,0,0,4
369,1,0,0,0,0,4
370,1,0,0,0,0,4
371,1,0,0,0,0,4
372,1,0,0,0,0,4
373,1,0,0,0,0,4
374,0,0,0,0,0,2
375,1,0,0,0,0,4
376,1,0,0,0,0,4
377,1,0,0,0,0,4
378,1,0,0,0,0,4
379,0,0,0,0,0,2
380,1,0,0,0,0,4
381,2,0,0,0,0,4
382,0,0,0,0,0,1
383,2,0,0,0,0,4
384,0,0,0,0,0,1
385,1,0,0,0,0,4
386,0,0,0,0,0,1
387,1,2,2,0,2,4
388,1,0,0,0,0,4
389,1,0,0,0,0,4
390,1,0,0,0,0,4
391,1,0,0,0,1,4
392,1,0,0,0,0,4
393,1,0,0,0,0,4
394,0,0,0,0,0,1
395,1,0,0,0,0,4
396,1,0,0,0,1,4
397,1,0,0,0,0,4
398,1,0,0,0,0,3
399,1,0,0,0,0,4
400,0,0,0,0,0,2
401,0,0,0,0,0,1
402,1,0,0,0,0,4
403,1,0,0,0,0,4
404,1,0,0,0,0,4
405,1,0,0,0,0,4
406,1,0,0,0,0,4
407,1,0,0,0,0,4
408,2,0,0,0,0,4
409,1,0,0,0,0,4
410,0,0,0,0,0,2
411,1,0,0,0,0,4
412,1,0,0,0,0,4
413,1,0,0,0,0,4
414,1,0,0,0,0,4
415,0,0,0,0,0,2
416,17,0,0,0,0,4
417,0,0,0,0,0,2
418,1,0,0,0,0,3
419,1,0,0,0,0,4
420,0,0,0,0,0,1
421,0,0,0,0,0,1
422,0,0,0,0,0,1
423,0,0,0,0,0,1
424,1,0,0,0,0,4
425,1,0,0,0,0,4
426,0,0,0,0,0,1
427,0,0,0,0,0,1
428,0,0,0,0,0,1
429,1,0,0,0,0,4
430,1,0,0,0,0,3
431,0,0,0,0,0,1
432,1,0,0,0,0,4
433,1,0,0,0,0,4
434,1,0,0,0,0,4
435,1,2,2,0,2,4
436,0,0,0,0,0,1
437,0,0,0,0,0,1
438,0,0,0,0,0,1
439,0,0,0,0,0,1
440,0,0,0,0,0,1
441,0,0,0,0,0,1
442,0,0,0,0,0,1
443,0,0,0,0,0,1
444,0,0,0,0,0,1
445,0,0,0,0,0,1
446,0,0,0,0,0,1
447,0,0,0,0,0,1
448,0,0,0,0,0,1
449,0,0,0,0,0,1
450,0,0,0,0,0,1
451,0,0,0,0,0,1
452,0,0,0,0,0,1
453,0,0,0,0,0,1
454,0,0,0,0,0,1
455,0,0,0,0,0,1
456,0,0,0,0,0,1
457,1,0,0,0,0,4
458,0,0,0,0,0,1
459,1,0,0,0,0,4
460,2,0,0,0,0,4
461,0,2,0,0,0,1
462,1,0,0,0,0,4
463,1,0,0,0,0,4
464,2,0,0,0,0,4
465,0,0,0,0,0,1
466,0,0,0,0,0,1
467,1,0,0,0,0,4
468,0,0,0,0,0,1
469,1,0,0,0,0,4
470,1,0,0,0,0,4
471,1,0,0,0,0,4
472,1,0,0,0,0,4
473,0,0,0,0,0,1
474,0,0,0,0,0,1
475,2,2,0,0,0,3
476,0,0,0,0,0,1
477,0,0,0,0,0,1
478,1,0,0,0,1,4
479,1,0,0,0,0,4
480,1,0,0,0,0,4
481,0,1,0,0,0,1
482,0,0,0,0,0,1
483,1,0,0,0,0,4
484,1,1,1,0,0,4
485,1,0,0,0,0,4
486,1,0,0,0,1,4
487,3,0,0,0,0,4
488,1,0,0,0,0,4
489,1,0,0,0,0,4
490,1,0,0,0,0,4
491,1,0,0,0,0,4
492,1,0,0,0,0,4
493,1,0,0,0,0,4
494,1,0,0,0,0,4
495,1,0,0,0,0,4
496,1,0,0,0,0,4
497,1,0,0,0,0,4
498,0,0,0,0,0,1
499,0,0,0,0,0,1
500,0,0,0,0,0,1
501,0,0,0,0,0,2
502,1,0,0,0,0,4
503,1,0,0,0,1,4
504,1,0,0,0,0,4
505,0,0,0,0,0,2
506,1,0,0,0,1,4
507,2,0,0,0,0,4
508,1,0,0,0,0,4
509,0,2,0,0,0,1
510,0,0,0,0,0,1
511,0,0,1,0,0,1
512,1,0,0,0,0,4
513,1,0,1,0,0,3
514,0,0,0,0,0,1
515,0,0,0,0,0,1
516,1,0,0,0,0,4
517,0,0,0,0,0,1
518,1,0,0,0,0,3
519,1,0,0,0,0,4
520,1,0,0,0,0,3
521,2,0,0,0,0,4
522,0,0,0,0,0,1
523,1,0,0,0,0,3
524,1,0,0,0,0,4
525,1,0,0,0,0,4
526,1,0,0,0,0,4
527,1,0,0,0,0,4
528,1,0,0,0,0,4
529,0,0,0,0,0,1
530,1,0,0,0,0,3
531,1,0,0,0,0,3
532,2,0,0,0,0,3
533,0,0,0,0,0,1
534,0,1,0,0,0,1
535,1,0,0,0,0,4
536,1,0,0,0,0,3
537,1,1,0,0,0,3
538,3,0,0,0,0,4
539,1,0,0,0,0,4
540,0,0,0,0,0,1
541,2,0,0,0,0,3
542,0,0,0,0,0,1
543,1,0,0,0,0,4
544,0,0,0,0,0,2
545,2,0,0,0,0,4
546,0,0,0,0,0,1
547,1,0,0,0,0,3
548,1,0,0,0,0,4
549,2,0,0,0,0,3
550,0,0,0,0,0,1
551,6,0,0,0,0,4
552,1,0,0,0,0,4
553,0,0,0,0,0,1
554,0,0,0,0,0,1
555,1,0,0,0,0,3
556,1,0,0,0,0,4
557,1,0,0,0,0,4
558,0,0,1,0,0,1
559,1,1,1,0,0,4
560,1,0,0,0,0,3
561,0,0,0,0,0,1
562,0,0,0,0,0,1
563,2,0,0,0,0,4
564,1,0,0,0,0,4
565,3,0,0,0,0,4
566,0,0,0,0,0,1
567,1,0,0,0,0,4
568,1,0,0,0,0,4
569,5,0,0,0,0,4
570,0,0,0,0,0,2
571,0,0,0,0,0,1
572,0,0,0,0,0,1
573,0,0,0,0,0,1
574,0,0,0,0,0,1
575,0,0,0,0,0,1
576,0,0,0,0,0,1
577,0,0,0,0,0,1
578,0,0,0,0,0,1
579,0,0,0,0,0,1
580,0,0,0,0,0,1
581,0,0,0,0,0,1
582,0,0,0,0,0,1
583,0,0,0,0,0,1
584,0,0,0,0,0,1
585,0,0,0,0,0,1
586,0,0,0,0,0,1
587,0,0,0,0,0,1
588,0,0,0,0,0,1
589,0,0,0,0,0,1
590,0,0,0,0,0,1
591,0,0,0,0,0,1
592,0,0,0,0,0,1
593,1,0,0,0,0,4
594,2,0,0,0,0,4
595,0,0,0,0,0,1
596,17,0,0,0,0,4
597,1,0,0,0,0,4
598,0,0,0,0,0,1
599,2,0,0,0,0,4
600,0,0,0,0,0,1
601,1,0,0,0,0,4
602,1,0,0,0,0,4
603,0,0,0,0,0,2
604,1,0,0,0,0,4
605,1,0,0,0,0,4
606,0,0,0,0,0,1
607,1,0,0,0,0,4
608,1,0,0,0,0,4
609,1,0,0,0,0,4
610,1,0,0,0,0,4
611,1,0,0,0,0,4
612,0,0,0,0,0,1
613,1,0,0,0,0,4
614,1,0,0,0,0,3
615,1,0,0,0,0,4
616,2,0,0,0,0,4
617,1,0,0,0,0,4
618,1,0,0,0,0,4
619,1,0,0,0,0,4
620,1,0,0,0,0,4
621,1,0,0,0,0,4
622,1,0,0,0,0,4
623,1,0,0,0,0,4
624,1,0,0,0,0,4
625,0,0,0,0,0,1
626,0,0,0,0,0,1
627,0,0,0,0,0,1
628,0,0,0,0,0,2
629,1,0,0,0,1,4
630,3,0,0,0,0,4
631,1,0,0,0,0,4
632,1,0,0,0,0,4
633,1,0,0,0,0,4
634,0,0,0,0,0,1
635,1,0,0,0,0,4
636,1,0,0,0,1,4
637,0,0,0,0,0,1
638,0,0,0,0,0,1
639,1,0,0,0,0,4
640,0,0,0,0,0,1
641,1,0,0,0,0,4
642,1,0,0,0,0,4
643,0,1,0,0,0,1
644,1,0,0,0,0,4
645,2,0,0,0,0,4
646,0,2,0,0,0,1
647,0,0,0,0,0,1
648,0,0,0,0,0,1
649,1,0,0,0,0,4
650,0,0,0,0,0,2
651,1,0,0,0,0,4
652,14,0,0,0,0,4
653,1,0,0,0,0,3
654,0,2,0,0,0,1
655,2,0,0,0,0,4
656,1,0,0,0,0,3
657,1,0,0,0,0,4
658,1,0,0,0,0,4
659,2,0,0,0,0,4
660,1,0,0,0,0,4
661,1,0,0,0,0,4
662,4,0,0,0,1,4
663,0,0,0,0,0,1
664,3,0,0,0,0,4
665,1,0,0,0,0,4
666,0,2,0,0,0,1
667,1,0,0,0,0,4
668,1,0,0,0,0,4
669,1,0,0,0,1,4
670,1,0,0,0,0,4
671,1,0,0,0,0,4
672,0,0,0,0,0,1
673,1,0,0,0,0,4
674,1,1,0,0,0,3
675,5,0,0,0,0,4
676,0,0,0,0,0,1
677,0,0,0,0,0,1
678,1,0,0,0,0,4
679,1,0,0,0,0,4
680,1,0,0,0,0,4
681,1,0,0,0,0,4
682,2,0,0,0,0,4
683,1,0,0,0,0,4
684,0,0,0,0,0,1
685,0,0,0,0,0,1
686,1,0,0,0,0,4
687,1,0,0,0,0,4
688,1,0,0,0,0,4
689,0,0,0,0,0,1
690,1,1,1,0,0,4
691,2,0,0,0,0,4
692,0,0,0,0,0,1
693,1,0,0,0,0,4
694,0,0,0,0,0,1
695,0,0,0,0,0,1
696,0,0,0,0,0,1
697,0,0,0,0,0,1
698,0,0,0,0,0,1
699,0,0,0,0,0,1
700,0,0,0,0,0,1
701,0,0,0,0,0,1
702,0,0,0,0,0,1
703,0,0,0,0,0,1
704,0,0,0,0,0,1
705,0,0,0,0,0,1
706,0,0,0,0,0,1
707,0,0,0,0,0,1
708,0,0,0,0,0,1
709,0,0,0,0,0,1
710,0,0,0,0,0,1
711,0,0,0,0,0,1
712,0,0,0,0,0,1
713,0,0,0,0,0,1
714,0,0,0,0,0,1
715,0,0,0,0,0,1
716,0,0,0,0,0,1
717,1,0,0,0,0,3
718,1,1,1,0,1,1
719,1,0,0,0,0,4
720,1,0,0,0,0,4
721,1,0,0,0,0,4
722,1,0,0,0,0,4
723,0,1,0,0,0,1
724,1,0,0,0,0,4
725,1,0,0,0,0,4
726,0,0,0,0,0,1
727,1,0,0,0,0,4
728,0,0,0,0,0,2
729,1,0,0,0,0,4
730,1,0,0,0,0,4
731,14,0,0,0,0,4
732,2,2,0,0,0,3
733,0,0,0,0,0,1
734,0,0,0,0,0,1
735,2,1,0,0,0,3
736,0,0,0,0,0,1
737,1,0,0,0,0,3
738,1,0,0,0,0,4
739,1,0,0,0,0,4
740,3,0,0,0,0,4
741,1,0,0,0,0,4
742,0,0,0,0,0,1
743,1,0,0,0,0,3
744,0,2,0,0,0,1
745,2,0,0,0,0,4
746,1,12,0,0,0,1
747,0,0,0,0,0,1
748,1,0,0,0,0,4
749,1,0,0,0,0,3
750,1,0,0,0,0,4
751,1,0,0,0,0,4
752,2,0,0,0,0,4
753,0,0,0,0,0,1
754,1,0,0,0,0,4
755,0,0,0,0,0,1
756,0,0,0,0,0,1
757,4,0,0,0,0,4
758,1,0,0,0,0,4
759,0,0,0,0,0,1
760,1,0,0,0,0,4
761,3,0,0,0,0,4
762,0,0,0,0,0,1
763,1,0,0,0,0,4
764,1,0,0,0,0,4
765,0,0,0,0,0,1
766,3,0,0,0,0,4
767,0,0,0,0,0,1
768,13,15,9,0,9,4
769,0,0,0,0,0,1
770,1,0,0,0,0,4
771,0,0,0,0,0,1
772,1,0,0,0,0,4
773,0,0,0,0,0,2
774,1,0,0,0,0,4
775,4,0,0,0,0,4
776,1,0,0,0,0,4
777,0,0,0,0,0,1
778,3,0,0,0,0,4
779,1,0,0,0,0,4
780,1,0,0,0,0,4
781,0,1,0,0,0,1
782,1,0,0,0,0,4
783,0,0,0,0,0,1
784,3,0,0,0,0,4
785,1,0,0,0,0,4
786,1,0,0,0,0,4
787,1,0,0,0,0,4
788,1,0,0,0,0,4
789,1,0,0,0,0,4
790,1,0,0,0,0,4
791,3,0,0,0,0,4
792,1,0,0,0,0,4
793,0,0,0,0,0,1
794,1,0,0,0,0,4
795,0,0,0,0,0,1
796,1,0,0,0,0,4
797,1,0,0,0,0,3
798,1,0,0,0,0,4
799,1,0,0,0,0,4
800,1,0,0,0,0,4
801,0,0,0,0,0,1
802,1,0,0,0,0,4
803,2,0,0,0,0,4
804,1,0,0,0,0,4
805,1,0,0,0,0,4
806,1,0,0,0,0,4
807,1,0,0,0,0,4
808,0,0,0,0,0,1
809,1,0,0,0,0,4
810,1,0,0,0,0,4
811,1,0,0,0,1,4
812,1,0,0,0,0,4
813,1,0,0,0,0,4
814,0,0,0,0,0,1
815,1,0,0,0,0,4
816,0,0,0,0,0,1
817,1,0,0,0,0,4
818,1,0,0,0,0,3
819,1,0,0,0,0,4
820,0,0,0,0,0,1
821,0,0,0,0,0,1
822,0,0,0,0,0,1
823,0,0,0,0,0,1
824,0,0,0,0,0,1
825,0,0,0,0,0,1
826,0,0,0,0,0,1
827,0,0,0,0,0,1
828,0,0,0,0,0,1
829,0,0,0,0,0,1
830,0,0,0,0,0,1
831,0,0,0,0,0,1
832,0,0,0,0,0,1
833,0,0,0,0,0,1
834,0,0,0,0,0,1
835,0,0,0,0,0,1
836,0,0,0,0,0,1
837,0,0,0,0,0,1
838,0,0,0,0,0,1
839,0,0,0,0,0,1
840,0,0,0,0,0,1
841,0,0,0,0,0,1
842,0,0,0,0,0,1
843,1,0,0,0,0,4
844,1,0,0,0,0,4
845,1,0,0,0,0,4
846,0,0,0,0,0,1
847,0,0,0,0,0,1
848,1,0,0,0,0,4
849,0,0,0,0,0,1
850,1,0,0,0,0,4
851,2,0,0,0,0,4
852,2,0,0,0,0,4
853,1,0,0,0,0,3
854,1,0,0,0,0,4
855,1,0,0,0,0,4
856,1,0,0,0,0,4
857,1,0,0,0,0,3
858,0,0,0,0,0,2
859,0,0,0,0,0,1
860,1,0,0,0,0,4
861,1,0,0,0,0,4
862,1,0,0,0,0,4
863,0,0,0,0,0,1
864,0,0,0,0,0,1
865,0,0,0,0,0,1
866,0,0,0,0,0,1
867,2,0,0,0,0,3
868,2,0,0,0,0,4
869,1,0,0,0,0,4
870,1,0,0,0,0,3
871,1,0,0,0,0,4
872,1,0,0,0,0,4
873,5,0,0,0,1,2
874,1,0,0,0,0,4
875,1,0,0,0,0,4
876,1,0,0,0,0,4
877,1,0,0,0,0,4
878,1,0,0,0,0,4
879,1,1,1,0,0,4
880,1,0,0,0,0,4
881,1,0,0,0,0,4
882,3,1,0,0,0,3
883,1,0,0,0,0,4
884,17,0,0,0,0,4
885,1,0,0,0,0,4
886,1,0,0,0,0,4
887,1,0,0,0,0,4
888,0,0,0,0,0,1
889,0,0,0,0,0,1
890,0,0,0,0,0,1
891,1,0,0,0,0,4
892,1,0,0,0,0,4
893,1,0,0,0,0,4
894,1,0,0,0,0,4
895,0,0,0,0,0,1
896,1,0,0,0,0,4
897,0,0,0,0,0,2
898,1,0,0,0,0,4
899,0,0,0,0,0,1
900,1,0,0,0,0,4
901,1,0,0,0,0,4
902,1,0,0,0,0,4
903,1,0,0,0,0,4
904,0,0,0,0,0,1
905,1,0,0,0,0,4
906,0,0,0,0,0,2
907,0,0,0,0,1,1
908,1,0,0,0,0,4
909,0,1,0,0,0,1
910,0,0,0,0,0,1
911,1,0,0,0,0,4
912,1,0,0,0,0,4
913,1,0,0,0,0,4
914,1,0,0,0,0,4
915,1,0,0,0,0,4
916,1,0,0,0,0,4
917,1,0,0,0,0,4
918,5,0,0,0,0,4
919,0,0,0,0,1,1
920,1,0,0,0,0,4
921,1,0,0,0,0,3
922,1,1,0,0,0,3
923,3,1,1,0,0,4
924,1,0,0,0,0,4
925,1,0,0,0,0,4
926,1,0,0,0,0,4
927,1,0,0,0,0,4
928,1,0,0,0,0,4
929,1,0,0,0,0,3
930,0,0,0,0,0,1
931,0,0,0,0,0,1
932,1,0,0,0,0,4
933,5,0,0,0,0,4
934,0,0,0,0,0,1
935,1,0,0,0,0,4
936,1,0,0,0,1,4
937,1,0,0,0,1,4
938,0,0,0,0,0,1
939,1,0,0,0,0,4
940,0,0,0,0,0,1
941,0,0,0,0,0,1
942,0,0,0,0,0,1
943,0,0,0,0,0,1
944,0,0,0,0,0,1
945,0,0,0,0,0,1
946,0,0,0,0,0,1
947,0,0,0,0,0,1
948,0,0,0,0,0,1
949,0,0,0,0,0,1
950,0,0,0,0,0,1
951,0,0,0,0,0,1
952,0,0,0,0,0,1
953,0,0,0,0,0,1
954,0,0,0,0,0,1
955,0,0,0,0,0,1
956,0,0,0,0,0,1
957,0,0,0,0,0,1
958,0,0,0,0,0,1
959,0,0,0,0,0,1
960,0,0,0,0,0,1
961,0,0,0,0,0,1
962,0,0,0,0,0,1
963,0,0,0,0,0,1
964,0,0,0,0,0,1
965,0,0,0,0,0,1
966,0,0,0,0,0,1
967,0,0,0,0,0,1
968,0,0,0,0,0,1
969,0,0,0,0,0,1
970,0,0,0,0,0,1
971,1,0,0,0,0,4
972,0,0,0,0,0,1
973,0,0,0,0,0,1
974,0,0,0,0,0,1
975,0,0,0,0,0,2
976,0,0,0,0,0,1
977,1,0,0,0,0,4
978,2,0,0,0,0,4
979,0,0,0,0,0,1
980,0,0,0,0,1,1
981,1,0,0,0,0,4
982,0,0,0,0,0,1
983,0,0,0,0,0,1
984,1,0,0,0,0,4
985,1,0,0,0,0,3
986,0,0,0,0,0,1
987,1,0,0,0,0,4
988,0,0,0,0,0,1
989,1,0,0,0,0,4
990,5,0,0,0,1,2
991,0,0,0,0,0,1
992,1,0,0,0,0,4
993,0,1,0,0,0,1
994,1,0,0,0,0,4
